user_id,book_id,relationship
276863,8530805461,like
276872,0425167097,like
276872,042518109X,like
276872,0425188221,like
276872,8571648972,like
276872,8588615126,like
276872,8589885291,like
277392,859009751X,like
967,8586280070,like
1260,8508046642,like
1260,8511046019,like
1990,8522405697,like
1990,852543010,like
1990,8528602931,like
1990,8570070063,like
1990,8585438010,like
1990,8585622032,like
1990,8586488046,like
1993,8526502654,like
2013,8590368130,like
2488,8574024856,like
2896,8500010428,like
2896,8526219278,like
2896,8587122061,like
7680,0425166392,like
7680,0671517643,like
9080,0452283248,like
9080,8500009101,like
10369,8573022744,like
12330,0345422384,like
12330,0440225817,like
12330,8521902069,like
12330,8528608867,like
12330,853251622X,like
13436,852804848,like
13892,8586637246,like
15953,8501060038,like
16684,0156007754,like
16684,850115413X,like
16684,8535900683,like
16684,8535900772,like
16684,8535901809,like
16684,8535902287,like
16684,8571641145,like
17300,8500906847,like
20207,85.326.00220,like
20801,0440234743,like
20801,0671702513,like
20801,8520912427,like
20801,8525033464,like
20801,8532514359,like
22082,0060187115,like
22082,0898158699,like
22082,850105321X,like
22392,8500013230,like
23023,85.254.07038,like
23725,8500001313,like
23725,850000178X,like
23725,8500002387,like
23725,8500003065,like
23725,8500004150,like
23725,850061370X,like
23725,850068593X,like
23725,8500713135,like
23725,8501017809,like
23725,8501057703,like
23725,8501065978,like
23725,8501155020,like
23725,8503005409,like
23725,8503005492,like
23725,8503006804,like
23725,8508027699,like
23725,8508045301,like
23725,8511200142,like
23725,852090307X,like
23725,8525008044,like
23725,8525035017,like
23725,8525406570,like
23725,852600025X,like
23725,8530802152,like
23725,8534917728,like
23725,8535400915,like
23725,8570411766,like
23725,8572326030,like
23725,8573023384,like
23725,857358548X,like
23725,857384003X,like
23725,8574240044,like
23725,858776702X,like
23725,8588853019,like
23725,8589362140,like
23725,8589665127,like
23725,8590335615,like
23725,8590351513,like
24386,8533607563,like
24386,8585466960,like
29539,0345353145,like
29539,0345370775,like
29539,0345391055,like
29539,0345405072,like
29539,0395670292,like
29539,0425133249,like
29539,0553275569,like
29539,0553275976,like
29539,0671755862,like
29539,0929654668,like
29539,8527700360,like
29539,8535902775,like
33471,0399145672,like
33753,8506000130,like
38418,0446340952,like
38458,8585617020,like
38458,8586280070,like
39877,8501065979,like
40271,8526001779,like
40985,CDD869935,like
45750,0679724346,like
45750,0684825546,like
45750,0743442539,like
46269,0140282033,like
46269,0140282777,like
46269,0345325818,like
46269,0345353145,like
46269,0380788497,like
46269,0380802090,like
46269,0451167538,like
46269,0452285186,like
46269,0553294385,like
46269,0595256368,like
46269,0679758461,like
46269,0679772669,like
46269,0743480716,like
46269,0747541604,like
46269,0811824829,like
46269,0812510992,like
46269,1401200893,like
46269,1551108631,like
46269,1559613874,like
46269,8251800811,like
46269,8501061158,like
46269,8587791052,like
48885,8532215300,like
48885,8572325638,like
49266,86908134,like
49283,8535902961,like
49862,852860022X,like
52476,8528601110,like
52702,8589362140,like
54219,8585865113,like
57489,8520908330,like
57698,857374.7366,like
58330,858602872X,like
61421,8500001186,like
62703,8501062669,like
66596,8500120991,like
66598,7897380901002,like
71449,8533615167,like
72037,0140621970,like
72792,8511181776,like
73504,0312982526,like
73504,0373483880,like
73504,0380004259,like
73504,0451407946,like
73504,0671679155,like
73504,0821738437,like
78933,0435272586,like
78933,0804118728,like
78933,1557507651,like
78933,8500009047,like
78933,8500013230,like
78933,8508018983,like
78933,8508027702,like
78933,8508029802,like
78933,8508033702,like
78933,8508040154,like
78933,8525005037,like
78933,8532511015,like
78933,853251166X,like
78933,8532512062,like
78933,8532512526,like
78933,853251622X,like
78933,8533613334,like
78933,8533613814,like
78933,8533615167,like
78933,8571647607,like
78933,8573024607,like
82038,8508006608,like
82317,0140252088,like
82317,0446601241,like
82317,351818802X,like
83840,0380797410,like
84033,0679720200,like
84033,8501014877,like
